"simscenarios","lambda.scenario","scenario","phi1.obs","phi1.true","phiad.obs","phiad.true","fec.obs","fec.true","det.abund","det.MR","det.prod","lambda"
4,"Stable",14,0.762233912738344,0.6,0.0872858284770389,0.12,1.18916440255855,1.475,"L","L","L","M"
4,"Stable",7,0.547281791348632,0.59,0.50481653367347,0.52,0.886996132172987,0.8,"L","L","L","M"
4,"Stable",9,0.866264656297463,0.92,0.184633049089986,0.19,0.931005523540444,0.875,"L","L","L","M"
4,"Stable",22,0.738303695094268,0.61,0.145579636738968,0.15,1.15770038519701,1.4,"L","L","L","M"
4,"Stable",18,0.637272289060205,0.57,0.31714927742886,0.34,1.08126046320443,1.175,"L","L","L","M"
4,"Stable",4,0.181194082102599,0.18,0.822088038063353,0.82,1.02956086090226,1.05,"L","L","L","M"
4,"Stable",24,0.722529895578112,0.88,0.443765408886049,0.45,0.768947805884711,0.625,"L","L","L","M"
4,"Stable",3,0.508136139349469,0.42,0.400079849650362,0.4,1.17436959072643,1.425,"L","L","L","M"
4,"Stable",15,0.85241223870239,0.79,0.0889262788959749,0.1,1.06534464766337,1.15,"L","L","L","M"
4,"Stable",17,0.391766415033308,0.46,0.665608576658138,0.67,0.814291093551211,0.7,"L","L","L","M"
4,"Stable",10,0.34903411220436,0.2,0.493284885703309,0.5,1.42769969208047,2.475,"L","L","L","M"
4,"Stable",23,0.568766568184365,0.53,0.3956167840609,0.39,1.06853960968592,1.15,"L","L","L","M"
4,"Stable",16,0.510705827302417,0.6,0.597219570746967,0.6,0.803799520679807,0.675,"L","L","L","M"
4,"Stable",5,0.575336385478216,0.54,0.413980712450364,0.44,1.02845306338362,1.05,"L","L","L","M"
4,"Stable",25,0.326699249694106,0.34,0.691354231111827,0.7,0.925824280541449,0.875,"L","L","L","M"
4,"Stable",20,0.829530060338249,0.83,0.182419967699716,0.18,0.994656476465618,1,"L","L","L","M"
4,"Stable",13,0.171608553548305,0.2,0.858407764872102,0.86,0.817499052196222,0.675,"L","L","L","M"
4,"Stable",6,0.371689449255357,0.44,0.700467063108287,0.7,0.824053263182735,0.7,"L","L","L","M"
4,"Stable",11,0.552178395851169,0.56,0.438599314609517,0.43,0.998054863305379,1,"L","L","L","M"
4,"Stable",21,0.689880705392653,0.82,0.430288861457767,0.42,0.81942058511467,0.7,"L","L","L","M"
5,"Stable",3,0.504945095488402,0.42,0.400531311694834,0.4,1.1729626443751,1.425,"M","M","M","M"
5,"Stable",2,0.514543328728124,0.45,0.41465119105717,0.42,1.12318265484515,1.275,"M","M","M","M"
5,"Stable",1,0.811675004920204,0.76,0.146504053156941,0.15,1.05764871962781,1.125,"M","M","M","M"
5,"Stable",12,0.573257756025072,0.29,0.12924040132437,0.13,1.50388554693038,3,"M","M","M","M"
5,"Stable",10,0.339767902430452,0.2,0.507943005704488,0.5,1.42989245103814,2.475,"M","M","M","M"
5,"Stable",19,0.394180026803432,0.24,0.466299848828007,0.47,1.38141920897835,2.25,"M","M","M","M"
5,"Stable",16,0.50795676582846,0.6,0.598571935072043,0.6,0.808596958770817,0.675,"M","M","M","M"
5,"Stable",17,0.396569174646073,0.46,0.66654789510936,0.67,0.809391740153259,0.7,"M","M","M","M"
5,"Stable",7,0.54087182346433,0.59,0.511839161695357,0.52,0.885678689878391,0.8,"M","M","M","M"
5,"Stable",9,0.864510019749804,0.92,0.18504140737663,0.19,0.936512000177381,0.875,"M","M","M","M"
5,"Stable",13,0.174110386452842,0.2,0.859918517970112,0.86,0.811384092002054,0.675,"M","M","M","M"
5,"Stable",18,0.626591762548342,0.57,0.329728932541941,0.34,1.08092924836172,1.175,"M","M","M","M"
5,"Stable",4,0.185304804557712,0.18,0.818896310493746,0.82,1.02190125502119,1.05,"M","M","M","M"
5,"Stable",24,0.713890723666462,0.88,0.450329863339438,0.45,0.773614760377847,0.625,"M","M","M","M"
5,"Stable",23,0.577362919063267,0.53,0.386586221669408,0.39,1.06653056473662,1.15,"M","M","M","M"
5,"Stable",15,0.84553104312956,0.79,0.0936048057149151,0.1,1.06924203642663,1.15,"M","M","M","M"
5,"Stable",6,0.373380222656604,0.44,0.700507887239382,0.7,0.826848933888199,0.7,"M","M","M","M"
5,"Stable",8,0.664383397066262,0.44,0.113678151436852,0.11,1.34040671625235,2.025,"M","M","M","M"
5,"Stable",20,0.816740825878382,0.83,0.187510145580727,0.18,1.00316460456894,1,"M","M","M","M"
